tconst,originalTitle,titleType,startYear,genres,runtimeMinutes,akas_title,region,averageRating,numVotes,overview,poster_path,production_countries
tt0210974,Seryy Volk end Krasnaya Shapochka,short,1991,"['Animation', 'Musical', 'Short']",27,Le loup gris et le petit chaperon rouge,FR,7.4,574,"A Soviet claymation short film created by Garri Bardin in 1990 that retells the story of Red Riding Hood while incorporating political metaphors and themes about the USSR's demise; the wolf representing communism, devouring innocent creatures who have never known him.",/hgNgD9PpfoRcUi9O4TwJzgtblgO.jpg,['SU']
tt0216434,Zhil-byl pyos,short,1982,"['Animation', 'Comedy', 'Family']",10,Il était une fois un chien,FR,8.4,4423,"The day comes when an old watchdog becomes useless but the masters being kind don't decide to drive him away. However they turn exasperated when the Dog stays indifferent during a home theft. The Dog leaves for the forest, where he meets the Wolf, his old enemy.",/7YbdqmDM9h2VmkelGYDKLYbuC5y.jpg,['SU']
tt0059936,Yûkoku,short,1966,"['Drama', 'Short']",30,Rites d'amour et de mort,FR,7.4,2121,Two characters on a Noh stage dramatize the rite of love and death of Lieutenant Shinji Takeyama and his wife Reiko.,/cNfpYGN2ALvg6qmSL2wek84umHO.jpg,['JP']
tt0060183,Borom sarret,short,1963,"['Drama', 'Short']",20,Borom Sarret,FR,7.2,1591,"A cart-taxi driver goes to the city to make a living, but out of sympathy with other poverty-stricken people, he works for free and goes hungry himself.",/buWO5ZM894iVymerDmiFCEZDkNv.jpg,['SN']
tt1850374,Hawaiian Vacation,short,2011,"['Animation', 'Comedy', 'Family']",6,Vacances à Hawaï,FR,7.2,10619,The toys throw Ken and Barbie a Hawaiian vacation in Bonnie's room.,/7DrKSrV5NCgR9Ky4WNzgM6ybqdq.jpg,['US']
tt0055715,...A Valparaíso,short,1963,"['Documentary', 'Short']",27,Valparaiso,FR,7.5,1418,"In 1962 Joris Ivens was invited to Chile for teaching and filmmaking. Together with students he made …À Valparaiso, one of his most poetic films. Contrasting the prestigious history of the seaport with the present the film sketches a portrait of the city, built on 42 hills, with its wealth and poverty, its daily life on the streets, the stairs, the rack railways and in the bars. Although the port has lost its importance, the rich past is still present in the impoverished city. The film echoes this ambiguous situation in its dialectical poetic style, interweaving the daily life reality (of 1963) with the history of the city and changing from black and white to colour, finally leaving us with hopeful perspective for the children who are playing on the stairs and hills of this beautiful town.",/meaV1OEdBgFt0iQ3NVoGr9mv1cN.jpg,"['CL', ' FR']"
tt0063819,Winnie the Pooh and the Blustery Day,short,1968,"['Animation', 'Comedy', 'Family']",25,Winnie l'ourson dans le vent,FR,7.9,5580,"Winnie the Pooh and his friends experience high winds, heavy rains, and a flood in Hundred Acre Wood.",/5kNFx8GW0zgtLDkhfNBOMMVmJTX.jpg,['US']
tt0116079,Le dernier chaperon rouge,short,1998,"['Fantasy', 'Musical', 'Short']",26,Le dernier chaperon rouge,FR,7.1,622,"A old red riding hood, badly crippled after killing a monster many years ago, comes up with a sinister plan to dance again.",/n5XFR7Df3a9VqsEMXQHWtPhIjGc.jpg,['FR']
tt2112281,Tangled Ever After,short,2012,"['Adventure', 'Animation', 'Comedy']",6,Le Mariage de Raiponce,FR,7.5,19463,"The kingdom is in a festive mood as everyone gathers for the royal wedding of Rapunzel and Flynn. However, when Pascal and Maximus, as flower chameleon and ring bearer, respectively, lose the gold bands, a frenzied search and recovery mission gets underway. As the desperate duo tries to find the rings before anyone discovers that they’re missing, they leave behind a trail of comical chaos that includes flying lanterns, a flock of doves, a wine barrel barricade and a very sticky finale. Will Maximus and Pascal save the day and make it to the church in time? And will they ever get Flynn’s nose right?",/5IeMW79OxftIUoR5duxyQ4LW5Iy.jpg,['US']
tt0100821,Tummy Trouble,short,1989,"['Adventure', 'Animation', 'Comedy']",8,Bobo bidon,FR,7.2,1880,Roger Rabbit once again is chosen for the dangerous task of babysitting Baby Herman and everything is going to be just fine.,/k0u8eOTrMAibmtFrU4ukT66a8HD.jpg,['US']
tt0100510,Roller Coaster Rabbit,short,1990,"['Animation', 'Comedy', 'Family']",7,Le Lapin Looping,FR,7.4,1544,Roger Rabbit struggles to keep wandering Baby Herman safe in an amusement park where the usual havoc ensues.,/v9mNkB3htZEod4OZd3bXJd5VK7J.jpg,['US']
tt0108377,Trail Mix-Up,short,1993,"['Adventure', 'Animation', 'Comedy']",8,Cours toujours mon lapin,FR,7.1,1211,"During a picnic, Baby Herman follows a beaver into a perilous sawmill - with Roger Rabbit in frantic pursuit.",/7FOzVF0CuBn3oOJOoHAg9JR0Ru2.jpg,['US']
tt0088856,Broken Down Film,short,1985,"['Animation', 'Comedy', 'Music']",6,Le film cassé,FR,7.1,957,"A cowboy seeks to rescue, then woo, a damsel in distress. But he is constantly thwarted by the scratches, breaks, and other imperfections present in the film print itself.",/hP0I7MQCGvHCOCyZH850eWFFann.jpg,['JP']
tt0188580,Dyuymovochka,short,1964,"['Animation', 'Family', 'Fantasy']",30,Poucelina,FR,7.2,1063,"A story based on the popular Hans Christian Anderson fairy tale ""Thumbelina"".",/gQ6MtvrcSp43cPnKbYLSEkGolVT.jpg,['SU']
tt0071608,Tsaplya i zhuravl,short,1974,"['Animation', 'Short']",10,Le héron et la cigogne,FR,7.2,941,Animated short about a love between a heron and a crane.,/exczBuiSq7FTMtvfdIzmBHwXUK1.jpg,['SU']
tt0239921,Ruka,short,1965,"['Animation', 'Horror', 'Short']",18,La main,FR,7.9,2138,"A happy little potter is approached by a huge hand which wants him to sculpt its statue. The potter refuses, wanting nothing more than to be left alone with his only friend, a potted plant. As the hand's request gives way to bribery, demands, and threats, the potter becomes more desperate to escape its clutch, leading to tragedy.",/83YdjKErufydzHqvJgyY5D7EUme.jpg,['XC']
