Titre,Lien_du_titre,information,image,date,ldb,ldb1,information2,information3,notation_detail,Duree,Genre,Origine,Annee,Realisateur,Acteurs,Conseils,note,Synopsis
LA STRATÉGIE ENDER,https://www.cine974.com/film/la-strategie-ender/808/, 605,https://www.cine974.com/images/affiches/moyen/la-strat--gie-ender-37ItNMLW.jpg,"
								2013								",605,4.1,1h54,55146, (44),1h54,Science-fiction,Américain,2013,Gavin Hood,"
	
			avec Harrison Ford, Asa Butterfield, Hailee Steinfeld, Viola Davis, Abigail Breslin,  plus...
	",, 4.1 | 44 avis ,
VIOLENT NIGHT,https://www.cine974.com/film/violent-night/48012/, 606,https://www.cine974.com/images/affiches/moyen/violent-night-RzATyHZ3.jpg,"
								2022								",606,4.1,1h52,6192, (44),1h52,Action,Américain,2022,Tommy Wirkola,"
	
			avec David Harbour, John Leguizamo, Alex Hassell, Alexis Louder, Leah Brady,  plus...
	","conseillé en Amoureux, entre Amis, entre Filles, entre Mecs", 4.1 | 44 avis ,"Le soir de Noël, quand un groupe de mercenaires entre par effraction sur la propriété d’une famille aisée qu’ils prennent en otage, ils vont devoir affronter un adversaire auquel ils ne s’attendaient pas : Le Père Noël est dans la place et il va leur montrer que ce bon vieux Saint Nicolas a plus d’un tour dans sa hotte."
LA TOUR,https://www.cine974.com/film/la-tour/48367/, 607,https://www.cine974.com/images/affiches/moyen/la-tour-BPqebduv.jpg,"
								2022								",607,4.1,1h29,3640, (44),1h29,Drame,Français,2022,Guillaume Nicloux,"
	
			avec Angèle Mac, Hatik, Ahmed Abdel Laoui, Kylian Larmonie, Merveille Nsombi,  plus...
	","conseillé en Amoureux, entre Amis, entre Filles, entre Mecs", 4.1 | 44 avis ,"Au cœur d’une cité, les habitants d'une tour se réveillent un matin et découvrent que leur immeuble est enveloppé d’un brouillard opaque, obstruant portes et fenêtres – une étrange matière noire qui dévore tout ce qui tente de la traverser. Pris au piège, les résidents tentent de s’organiser, mais pour assurer leur survie ils succombent peu à peu à leurs instincts les plus primitifs, jusqu’à sombrer dans l’horreur..."
ASTEROID CITY,https://www.cine974.com/film/asteroid-city/48491/, 608,https://www.cine974.com/images/affiches/moyen/asteroid-city-q9M3WS46.jpg,"
								2023								",608,4.1,1h44,6801, (42),1h44,Comédie,,2023,Wes Anderson,"
	
			avec Jason Schwartzman, Scarlett Johansson, Tom Hanks, Jeffrey Wright, Tilda Swinton,  plus...
	",, 4.1 | 42 avis ,"Une convention d'astronomie se déroule dans une ville désertique des années 1950. Plusieurs étudiants et leurs parents s'y rencontrent et leurs connaissances, leurs expériences et leurs vies se chevauchent de manière inattendue."
"JE, FRANÇOIS VILLON, VOLEUR, ASSASSIN, POÈTE",https://www.cine974.com/film/je-francois-villon-voleur-assassin-poete/32267/, 609,https://www.cine974.com/images/affiches/moyen/je--fran--ois-villon--voleur--assassin--po--te-tFKFL8DF.jpg,"
								2010								",609,4.1,0h00,3773, (41),,Drame,Français,2010,Serge Meynard,"
	
			avec Francis Renaud, Philippe Nahon, Patrick Lizana, Sagamore Stévenin, Quentin Baillot,  plus...
	",, 4.1 | 41 avis ,"Eloigné de sa mère dès sa tumultueuse naissance, recueilli par Guillaume De Villon alors qu'il était promis à une mort certaine, François va faire déborder sa vie pour combler cette absence insupportable. De la débauche des tavernes à la cour du Duc d'orléans, cet étudiant fantasque, ce poète merveilleux n'aura de cesse que de retrouver sa mère."
LA COLLINE AUX COQUELICOTS,https://www.cine974.com/film/la-colline-aux-coquelicots/10311/, 610,https://www.cine974.com/images/affiches/moyen/la-colline-aux-coquelicots-xtdUlaps.jpg,"
								2011								",610,4.1,1h32,11189, (41),1h32,Animation,Japonais,2011,Goro Miyazaki,"
	
			avec Masami Nagasawa, Junichi Okada, Keiko Takeshita, Yuriko Ishida, Rumi Hiiragi,  plus...
	","conseillé en Famille, pour Marmailles", 4.1 | 41 avis ,"Umi est une jeune lycéenne qui vit dans une vieille bâtisse perchée au sommet d’une colline surplombant le port de Yokohama. Chaque matin, depuis que son père a disparu en mer, elle hisse face à la baie deux pavillons, comme un message lancé à l’horizon. Au lycée, quelqu’un a même écrit un article sur cet émouvant signal dans le journal du campus. C’est peut-être l’intrépide Shun, le séduisant jeune homme qu’Umi n’a pas manqué de remarquer... Attirés l’un par l’autre, les deux jeunes gens vont partager de plus en plus d’activités, de la sauvegarde du vieux foyer jusqu’à la rédaction du journal. Pourtant, leur relation va prendre un tour inattendu avec la découverte d’un secret qui entoure leur naissance et semble les lier… Dans un Japon des années 60, entre tradition et modernité, à l’aube d’une nouvelle ère, Umi et Shun vont se découvrir et partager une émouvante histoire d’amitié, d’amour et d’espoir."
TOUT EST POSSIBLE (THE BIGGEST LITTLE FARM),https://www.cine974.com/film/tout-est-possible-the-biggest-little-farm/45154/, 611,https://www.cine974.com/images/affiches/moyen/tout-est-possible--the-biggest-little-farm--CdyBekKZ.jpg,"
								2018								",611,4.1,1h32,10800, (41),1h32,Documentaire,Américain,2018,John Chester,"
	
			avec Cyril Dion, 
	","conseillé en Famille, en Amoureux, entre Amis", 4.1 | 41 avis ,John et Molly décident de quitter Los Angeles pour se lancer dans le développement d’une ferme écoresponsable.
GRÂCE À DIEU,https://www.cine974.com/film/grace-a-dieu/40409/, 612,https://www.cine974.com/images/affiches/moyen/gr--ce----dieu-D7DTvkgQ.jpg,"
								2019								",612,4.1,2h17,9659, (40),2h17,Drame,"Belge, Français",2019,François Ozon,"
	
			avec Melvil Poupaud, Denis Ménochet, Swann Arlaud, Josiane Balasko, Eric Caravaca,  plus...
	",, 4.1 | 40 avis ,"Alexandre vit à Lyon avec sa femme et ses enfants. Un jour, il découvre par hasard que le prêtre qui a abusé de lui aux scouts officie toujours auprès d’enfants. Il se lance alors dans un combat, très vite rejoint par François et Emmanuel, également victimes du prêtre, pour « libérer leur parole » sur ce qu’ils ont subi. Mais les répercussions et conséquences de ces aveux ne laisseront personne indemne."
HOSTEL,https://www.cine974.com/film/hostel/28355/, 613,https://www.cine974.com/images/affiches/moyen/hostel-JF3TE2uR.jpg,"
								2006								",613,4.1,1h35,5439, (38),1h35,Epouvante-horreur,Américain,2006,Eli Roth,"
	
			avec Jay Hernandez, Derek Richardson, Eythor Gudjonsson, Barbara Nedeljakova, Jana Kaderabkova,  plus...
	",Interdit aux moins de 16 ans, 4.1 | 38 avis ,"Deux étudiants américains, Paxton et Josh, ont décidé de découvrir l'Europe avec un maximum d'aventures et de sensations fortes. Avec Oli, un Islandais qu'ils ont rencontré en chemin, ils se retrouvent dans une petite ville de Slovaquie dans ce qu'on leur a décrit comme le nirvana des vacances de débauche : une propriété très spéciale, pleine de filles aussi belles que faciles...Natalya et Svetlana sont effectivement très cools... un peu trop, même. Paxton et Josh vont vite se rendre compte qu'ils sont tombés dans un piège. Ce voyage-là va les conduire au bout de l'horreur..."
UNE VIE,https://www.cine974.com/film/une-vie/49179/, 614,https://www.cine974.com/images/affiches/moyen/une-vie-YPUXKqUL.jpg,"
								2023								",614,4.1,1h50,6382, (37),1h50,Drame,Britannique,2023,James Hawes,"
	
			avec Anthony Hopkins, Helena Bonham Carter, Romola Garai, Lena Olin, Jonathan Pryce,  plus...
	",, 4.1 | 37 avis ,"D'après l'histoire vraie du britannique Nicholas Winton (1909-2015). Avant le début de la Seconde Guerre mondiale, âgé de 29 ans, il sauve 669 enfants tchécoslovaques dont beaucoup sont juifs d'une mort certaine dans les camps d'extermination nazis."
HARRY POTTER ET L'ORDRE DU PHÉNIX,https://www.cine974.com/film/harry-potter-et-l-ordre-du-phenix/1595/, 615,https://www.cine974.com/images/affiches/moyen/harry-potter-et-l-ordre-du-ph--nix-GemmpDM5.jpg,"
								2007								",615,4.1,2h18,21188, (37),2h18,Aventure,"Américain, Britannique",2007,David Yates,"
	
			avec Daniel Radcliffe, Rupert Grint, Emma Watson, Imelda Staunton, Ralph Fiennes,  plus...
	",A partir de 10 ans, 4.1 | 37 avis ,"Alors qu'il entame sa cinquième année d'études à Poudlard, Harry Potter découvre que la communauté des sorciers ne semble pas croire au retour de Voldemort, convaincue par une campagne de désinformation orchestrée par le Ministre de la Magie Cornelius Fudge. Afin de le maintenir sous surveillance, Fudge impose à Poudlard un nouveau professeur de Défense contre les Forces du Mal, Dolorès Ombrage, chargée de maintenir l'ordre à l'école et de surveiller les faits et gestes de Dumbledore. Prodiguant aux élèves des cours sans grand intérêt, celle qui se fait appeler la Grande Inquisitrice de Poudlard semble également décidée à tout faire pour rabaisser Harry. Entouré de ses amis Ron et Hermione, ce dernier met sur pied un groupe secret, ""L'Armée de Dumbledore"", pour leur enseigner l'art de la défense contre les forces du Mal et se préparer à la guerre qui s'annonce..."
MARY,https://www.cine974.com/film/mary/30112/, 616,https://www.cine974.com/images/affiches/moyen/mary-WMZ5ycRl.jpg,"
								2017								",616,4.1,1h41,17765, (37),1h41,Drame,Américain,2017,Marc Webb,"
	
			avec Chris Evans, Mckenna Grace, Lindsay Duncan, Octavia Spencer, Jenny Slate,  plus...
	",, 4.1 | 37 avis ,"Un homme se bat pour obtenir la garde de sa nièce, qui témoigne d'un don hors du commun pour les mathématiques."
GIRLS TRIP,https://www.cine974.com/film/girls-trip/38995/, 617,https://www.cine974.com/images/affiches/moyen/girls-trip-ER6ihS4A.jpg,"
								2017								",617,4.1,2h03,20952, (36),2h03,Comédie,Américain,2017,Malcolm D. Lee,"
	
			avec Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish, Larenz Tate,  plus...
	","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs", 4.1 | 36 avis ,"Ryan Pierce, auteure à succès de livres de développement personnel, invite ses trois meilleures amies de l’université - Dina, Lisa et Sasha – qu’elle n’a pas revues depuis plusieurs années, au festival Essence, organisé tous les ans à la Nouvelle-Orléans pour célébrer la diversité et la créativité afro-américaines. Alliances et discordes sont réactivées, le côté sauvage de chacune se réveille et la solidarité féminine est ressuscitée, le tout sous un flot d’alcool, de musique, de soirées, de grabuge et de flirts à en faire pâlir la ville de tous les vices."
NOTRE-DAME BRÛLE,https://www.cine974.com/film/notre-dame-brule/47316/, 618,https://www.cine974.com/images/affiches/moyen/notre-dame-br--le-N6kuNjhf.jpg,"
								2022								",618,4.1,1h50,11911, (35),1h50,Drame,Français,2022,Jean-Jacques Annaud,"
	
			avec Samuel Labarthe, Jean-Paul Bordes, Mikaël Chirinian, Jérémie Laheurte, Maximilien Seweryn,  plus...
	","conseillé en Famille, entre Amis", 4.1 | 35 avis ,"Le long métrage de Jean-Jacques Annaud, reconstitue heure par heure l’invraisemblable réalité des évènements du 15 avril 2019 lorsque la cathédrale subissait le plus important sinistre de son histoire. Et comment des femmes et des hommes vont mettre leurs vies en péril dans un sauvetage rocambolesque et héroïque."
VIC LE VIKING,https://www.cine974.com/film/vic-le-viking/45350/, 619,https://www.cine974.com/images/affiches/moyen/vic-le-viking-BbNFHjVD.jpg,"
								2019								",619,4.1,1h21,108824, (34),1h21,Animation,"Allemand, Belge, Français",2019,Éric Cazes,"
	
			avec Nathan Willems, Patrick Brüll, Damien Locqueneux, Rose Alloing, Laurent Van Der Rest,  plus...
	","conseillé en Famille, pour Marmailles", 4.1 | 34 avis ,"Vic est un jeune Viking pas comme les autres : pas très costaud mais très malin. Quand son père, Halvar, le chef du village, dérobe à son ennemi juré une épée magique qui transforme tout en or, l’appât du gain sème la pagaille chez les Vikings ! Vic va alors devoir embarquer pour un périlleux voyage vers une île mythique du grand Nord pour briser le sortilège de l’épée…"
HAPPY BIRTHDEAD 2 YOU,https://www.cine974.com/film/happy-birthdead-2-you/40123/, 620,https://www.cine974.com/images/affiches/moyen/happy-birthdead-2-you-dlHd9kUq.jpg,"
								2019								",620,4.1,1h40,12610, (34),1h40,Comédie,Américain,2019,Christopher Landon,"
	
			avec Jessica Rothe, Israel Broussard, Phi Vu, Suraj Sharma, Sarah Yarkin,  plus...
	","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs", 4.1 | 34 avis ,"Alors que Tree pensait s’être définitivement débarrassée de celle qui voulait sa mort et qu’elle file le parfait amour avec Carter, elle se retrouve projetée dans une dimension parallèle à notre monde. Elle doit désormais affronter des fantômes de son passé et de nouveaux ennemis…"
EN LIBERTÉ !,https://www.cine974.com/film/en-liberte/39723/, 621,https://www.cine974.com/images/affiches/moyen/en-libert-----DhXZ5YhD.jpg,"
								2017								",621,4.1,1h48,10315, (33),1h48,Comédie,Français,2017,Pierre Salvadori,"
	
			avec Adèle Haenel, Pio Marmai, Damien Bonnard, Vincent Elbaz, Audrey Tautou, 
	",, 4.1 | 33 avis ,"Yvonne jeune inspectrice de police, découvre que son mari, le capitaine Santi, héros local tombé au combat, n’était pas le flic courageux et intègre qu’elle croyait mais un véritable ripou. Déterminée à réparer les torts commis par ce dernier, elle va croiser le chemin d’Antoine injustement incarcéré par Santi pendant huit longues années. Une rencontre inattendue et folle qui va dynamiter leurs vies à tous les deux."
LA FEMME À LA FENÊTRE,https://www.cine974.com/film/la-femme-a-la-fenetre/44515/, 622,https://www.cine974.com/images/affiches/moyen/the-woman-in-the-window-mf1J7igk.jpg,"
								2021								",622,4.1,0h00,10078, (33),,Thriller,Américain,2021,Joe Wright,"
	
			avec Amy Adams, Gary Oldman, Jennifer Jason Leigh, Julianne Moore, Anthony Mackie,  plus...
	",, 4.1 | 33 avis ,"Psychologue pour enfants, le Dr Anna Fox, agoraphobe, vit recluse dans sa maison de New York et passe le plus clair de son temps à regarder de vieux films et à espionner ses voisins. Elle se lie cependant d’amitié avec Jane Russell, qui vient d’emménager avec sa famille dans l’immeuble d’en face. Sa vie bascule lorsqu’un soir, regardant une fois de plus par sa fenêtre, Anna aperçoit chez les Russell quelque chose qu’elle n’aurait jamais dû voir, au point de soupçonner son voisin d’avoir fait disparaître Jane… Mais comment prouver le bien-fondé de ces allégations quand tout le monde vous fait douter de votre raison et que les apparences semblent trompeuses ?"
L'ETRANGE NOËL DE M. JACK,https://www.cine974.com/film/l-etrange-noel-de-m-jack/441/, 623,https://www.cine974.com/images/affiches/moyen/l-etrange-no--l-de-m--jack-3UAY5jEC.jpg,"
								1994								",623,4.1,1h15,10202, (32),1h15,Animation,Américain,,Henry Selick,"
	
			avec Trickfilm, Chris Sarandon, Danny Elfman, Catherine O'Hara, William Hickey,  plus...
	",conseillé pour Marmailles, 4.1 | 32 avis ,"Jack Skellington, roi des citrouilles et guide de Halloween-ville, s'ennuie : depuis des siècles, il en a assez de préparer la même fête de Halloween qui revient chaque année, et il rêve de changement. C'est alors qu'il a l'idée de s'emparer de la fête de Noël..."
ROGUE ONE: A STAR WARS STORY,https://www.cine974.com/film/rogue-one-a-star-wars-story/7460/, 624,https://www.cine974.com/images/affiches/moyen/rogue-one--a-star-wars-story-UNeqkPvw.jpg,"
								2016								",624,4.1,2h14,25103, (31),2h14,Action,Américain,2016,Gareth Edwards (V),"
	
			avec Felicity Jones, Diego Luna, Ben Mendelsohn, Mads Mikkelsen, Forest Whitaker,  plus...
	",, 4.1 | 31 avis ,"Situé entre les épisodes III et IV de la saga Star Wars, le film nous entraîne aux côtés d’individus ordinaires qui, pour rester fidèles à leurs valeurs, vont tenter l’impossible au péril de leur vie. Ils n’avaient pas prévu de devenir des héros, mais dans une époque de plus en plus sombre, ils vont devoir dérober les plans de l’Étoile de la Mort, l’arme de destruction ultime de l’Empire."
PIRATES DES CARAÏBES : LA FONTAINE DE JOUVENCE,https://www.cine974.com/film/pirates-des-caraibes-la-fontaine-de-jouvence/2910/, 625,https://www.cine974.com/images/affiches/moyen/pirates-des-cara--bes---la-fontaine-de-jouvence-8Ec9AWqD.jpg,"
								2011								",625,4.1,2h16,12156, (31),2h16,Aventure,Américain,2011,Rob Marshall,"
	
			avec Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane, Stephen Graham,  plus...
	",A partir de 10 ans, 4.1 | 31 avis ,"Dans cette histoire pleine d’action, où vérité, trahison, jeunesse éternelle et mort forment un cocktail explosif, le capitaine Jack Sparrow retrouve une femme qu’il a connue autrefois. Leurs liens sont-ils faits d’amour ou cette femme n’est-elle qu’une aventurière sans scrupules qui cherche à l’utiliser pour découvrir la légendaire Fontaine de Jouvence ? Lorsqu’elle l’oblige à embarquer à bord du Queen Anne’s Revenge, le bateau du terrible pirate Barbe-Noire, Jack ne sait plus ce qu’il doit craindre le plus : le redoutable maître du bateau ou cette femme surgie de son passé..."
PETITE FILLE,https://www.cine974.com/film/petite-fille/47968/, 626,https://www.cine974.com/images/affiches/moyen/petite-fille-qBBPM9BQ.jpg,"
								2020								",626,4.1,1h25,3289, (31),1h25,Documentaire,"Français, Danois",2020,Sébastien Lifshitz,"
	
	",, 4.1 | 31 avis ,
SHAOLIN SOCCER,https://www.cine974.com/film/shaolin-soccer/898/, 627,https://www.cine974.com/images/affiches/moyen/shaolin-soccer-l1aDweqL.jpg,"
								2001								",627,4.1,1h30,26172, (31),1h30,Action,Chinois,2001,Stephen Chow,"
	
			avec Stephen Chow, Wei Zhao, Wong Yat Fei, Karen Mok, Cecilia Cheung,  plus...
	",, 4.1 | 31 avis ,"Fung était une légende vivante du football, jusqu'à ce qu'il fasse perdre le championnat à son équipe. Fous de rage, les fans ne le lui ont pas pardonné.Aujourd'hui, Fung s'occupe du matériel de la Team Evil, l'équipe de son ancien partenaire, Hung. Lorsque Fung est renvoyé, il se tourne vers Sing, un moine du célèbre temple Shaolin qui possède des dons extraordinaires en matière d'arts martiaux.Lorsque Fung voit Sing mettre en déroute une bande de voyous avec un simple ballon de football, il a l'ingénieuse idée de créer une équipe de foot Shaolin pour vaincre ses adversaires..."
LES SALAUDS,https://www.cine974.com/film/les-salauds/33951/, 628,https://www.cine974.com/images/affiches/moyen/les-salauds-Y1RTAa2J.jpg,"
								2013								",628,4.1,1h41,3397, (31),1h41,Drame,Français,2013,Claire Denis,"
	
			avec Vincent Lindon, Chiara Mastroianni , Julie Bataille, Michel Subor, Lola Creton,  plus...
	",Interdit aux moins de 12 ans, 4.1 | 31 avis ,
THE OLD OAK,https://www.cine974.com/film/the-old-oak/48825/, 629,https://www.cine974.com/images/affiches/moyen/the-old-oak-Kr6Ji7wr.jpg,"
								2023								",629,4.1,1h53,3272, (31),1h53,Drame,"Belge, Français",2023,Ken Loach,"
	
			avec Debbie Honeywood, Trevor Fox, Lorenzo McGovern Zaini, Neil Leiper, Dave Turner,  plus...
	",, 4.1 | 31 avis ,"TJ Ballantyne est le propriétaire du « Old Oak », un pub situé dans une petite bourgade du nord de l’Angleterre. Il y sert quotidiennement les mêmes habitués désœuvrés pour qui l’endroit est devenu le dernier lieu où se retrouver. L’arrivée de réfugiés syriens va créer des tensions dans le village. TJ va cependant se lier d’amitié avec Yara, une jeune migrante passionnée par la photographie. Ensemble, ils vont tenter de redonner vie à la communauté locale en développant une cantine pour les plus démunis, quelles que soient leurs origines."
NOPE,https://www.cine974.com/film/nope/47246/, 630,https://www.cine974.com/images/affiches/moyen/nope-9CdVrKxz.jpg,"
								2022								",630,4.1,2h10,11303, (30),2h10,Epouvante-horreur,Américain,2022,Jordan Peele,"
	
			avec Daniel Kaluuya, Keke Palmer, Steven Yeun, Michael Wincott, Brandon Perea,  plus...
	","conseillé en Amoureux, entre Amis, entre Filles, entre Mecs", 4.1 | 30 avis ,Les habitants d’une vallée perdue du fin fond de la Californie sont témoins d’une découverte terrifiante à caractère surnaturel.
SPY X FAMILY CODE: WHITE,https://www.cine974.com/film/spy-x-family-code-white/49297/, 631,https://www.cine974.com/images/affiches/moyen/spy-x-family-code-white-DqzBizmD.jpg,"
								2023								",631,4.1,1h50,6100, (30),1h50,Action,Japonais,2023,Kazuhiro Furuhashi,"
	
			avec Takuya Eguchi, Atsumi Tanezaki, Saori Hayami, Ken'ichirô Matsuda, Hiroyuki Yoshino,  plus...
	","conseillé en Famille, en Amoureux, pour Marmailles", 4.1 | 30 avis ,"Loid est un espion. Yor, une tueuse à gages. Ensemble, ils mènent une double vie en jouant le rôle du père et de la mère d'une famille parfaite. Ce qu'ils ignorent, c'est que leur fille adoptive, Anya, connaît leurs secrets grâce à son don de télépathie. Un beau jour d'hiver, Loid se sert de sa couverture pour partir en week-end avec sa famille afin de prendre part, en parallèle, à une mission liée à l'opération Strix. Malheureusement, Anya se retrouve mêlée par erreur à cette dernière et devient l'élément déclencheur d'un conflit qui menace la paix dans le monde !"
L'ORDRE ET LA MORALE,https://www.cine974.com/film/l-ordre-et-la-morale/2022/, 632,https://www.cine974.com/images/affiches/moyen/l-ordre-et-la-morale-KMnFc2nN.jpg,"
								2011								",632,4.1,2h16,8610, (29),2h16,Action,Français,,Mathieu Kassovitz,"
	
			avec Mathieu Kassovitz, Iabe Lapacas, Malik Zidi, Alexandre Steiger, Daniel Martin (II),  plus...
	",, 4.1 | 29 avis ,
LE PETIT PRINCE,https://www.cine974.com/film/le-petit-prince/164/, 633,https://www.cine974.com/images/affiches/moyen/le-petit-prince-ve9u6ny7.jpg,"
								2015								",633,4.1,1h47,7976, (28),1h47,Animation,Français,2015,Mark Osborne,"
	
			avec Clara Poincaré, André Dussollier, Florence Foresti, Vincent Cassel, Marion Cotillard,  plus...
	","conseillé en Famille, pour Marmailles", 4.1 | 28 avis ,"C’est l’histoire d’une histoire. C’est l’histoire d’une petite fille, intrépide et curieuse, qui vit dans un monde d’adultes. C’est l’histoire d’un aviateur, excentrique et facétieux, qui n’a jamais vraiment grandi. C’est l’histoire du Petit Prince qui va les réunir dans une aventure extraordinaire."
ALADDIN,https://www.cine974.com/film/aladdin/424/, 634,https://www.cine974.com/images/affiches/moyen/aladdin-wJKgWTDN.jpg,"
								1992								",634,4.1,1h30,7168, (28),1h30,Animation,Américain,1992,John Musker,"
	
			avec Scott Weinger, Robin Williams, Linda Larkin, Frank Welker, Jonathan Freeman (II),  plus...
	","conseillé en Famille, pour Marmailles", 4.1 | 28 avis ,"Comment Aladdin, grâce à la felonie du grand vizir, va se procurer la lampe magique qui héberge le fameux génie et nous entraïner dans la plus étonnante des aventures."
LA PLANÈTE DES SINGES : L'AFFRONTEMENT,https://www.cine974.com/film/la-planete-des-singes-l-affrontement/732/, 635,https://www.cine974.com/images/affiches/moyen/la-plan--te-des-singes---l-affrontement-DIwYYAby.jpg,"
								2014								",635,4.1,2h11,12722, (28),2h11,Science-fiction,Américain,2014,Matt Reeves,"
	
			avec Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell,  plus...
	",, 4.1 | 28 avis ,
APOLLO 13,https://www.cine974.com/film/apollo-13/25128/, 636,https://www.cine974.com/images/affiches/moyen/apollo-13-eCCD39fw.jpg,"
								1995								",636,4.1,2h20,8684, (27),2h20,Drame,Américain,,Ron Howard,"
	
			avec Tom Hanks, Bill Paxton, Gary Sinise, Ed Harris, Kevin Bacon,  plus...
	",, 4.1 | 27 avis ,
LE ROYAUME DES CHATS,https://www.cine974.com/film/le-royaume-des-chats/33216/, 637,https://www.cine974.com/images/affiches/moyen/le-royaume-des-chats-FU94kwlq.jpg,"
								2002								",637,4.1,1h14,6180, (27),1h14,Animation,"Américain, Japonais",2002,Hiroyuki Morita,"
	
			avec Chizuru Ikewaki, Yoshihiko Hakamada, Aki Maeda, Takayuki Yamada, Hitomi Sato,  plus...
	","conseillé en Famille, pour Marmailles", 4.1 | 27 avis ,"Haru, une collégienne au comportement instable, sauve par hasard un chat d'un accident de la circulation. Ce qu'elle ignore, c'est que le félin n'est autre que le fils du puissant roi des chats. Cette rencontre va complètement bouleverser le cours de son existence. Dans son aventure, trois personnages vont se révéler des amis précieux : le très élégant Chat Baron, Mouta, un gros matou errant, et le corbeau Toto."
DALVA,https://www.cine974.com/film/dalva/48386/, 638,https://www.cine974.com/images/affiches/moyen/dalva-GtcKguym.jpg,"
								2022								",638,4.1,1h23,5700, (26),1h23,Drame,"Belge, Français",2022,Emmanuelle Nicot,"
	
			avec Zelda Samson, Alexis Manenti, Fanta Guirassy, Marie Denarnaud, Jean-Louis Coulloc'h,  plus...
	",, 4.1 | 26 avis ,"Dalva a 12 ans mais s'habille, se maquille et se vit comme une femme. Un soir, elle est brusquement retirée du domicile paternel. D'abord révoltée et dans l'incompréhension totale, elle va faire la connaissance de Jayden, un éducateur, et de Samia, une adolescente au fort caractère. Une nouvelle vie semble alors s’offrir à Dalva, celle d’une jeune fille de son âge."
LES BRONZÉS FONT DU SKI,https://www.cine974.com/film/les-bronzes-font-du-ski/1204/, 639,https://www.cine974.com/images/affiches/moyen/les-bronz--s-font-du-ski-kL2njE8T.jpg,"
								1979								",639,4.1,1h30,9815, (26),1h30,Comédie,Français,,Patrice Leconte,"
	
			avec Michel Blanc, Marie-Anne Chazel, Christian Clavier, Thierry Lhermitte, Dominique Lavanant,  plus...
	",, 4.1 | 26 avis ,
LA CRISE,https://www.cine974.com/film/la-crise/16644/, 640,https://www.cine974.com/images/affiches/moyen/la-crise-BJ4IUNE3.jpg,"
								1992								",640,4.1,1h35,6004, (25),1h35,Comédie,"Italien, Français",,Coline Serreau,"
	
			avec Vincent Lindon, Patrick Timsit, Zabou Breitman, Yves Robert, Annick Alane,  plus...
	",, 4.1 | 25 avis ,
MARY ET LA FLEUR DE LA SORCIÈRE,https://www.cine974.com/film/mary-et-la-fleur-de-la-sorciere/38947/, 641,https://www.cine974.com/images/affiches/moyen/mary-et-la-fleur-de-la-sorci--re-46Wyvfl3.jpg,"
								2017								",641,4.1,1h42,16692, (25),1h42,Animation,Japonais,2017,Hiromasa Yonebayashi,"
	
			avec Ruby Barnhill, Kate Winslet, Jim Broadbent, Ewen Bremner, Louis Serkis,  plus...
	","conseillé en Famille, pour Marmailles", 4.1 | 25 avis ,"C'est l'été. Mary vient d’emménager chez sa grand-tante dans le village de Manoir Rouge. Dans la forêt voisine, elle découvre une fleur mystérieuse qui ne fleurit qu'une fois tous les 7 ans. On l'appelle la ""fleur de la sorcière"". Pour une nuit seulement, grâce à la fleur, Mary possèdera des pouvoirs magiques et pourra entrer à Endor, l’école la plus renommée dans le monde de la magie, qui s'élève au-dessus du ciel, au-delà des nuages. Le secret de la fleur de la sorcière se révèlera à elle petit à petit…"
EYES WIDE SHUT,https://www.cine974.com/film/eyes-wide-shut/5673/, 642,https://www.cine974.com/images/affiches/moyen/eyes-wide-shut-x6vccx8h.jpg,"
								1999								",642,4.1,2h39,5661, (25),2h39,Drame,Britannique,,Stanley Kubrick,"
	
			avec Tom Cruise, Nicole Kidman, Madison Eginton, Sydney Pollack, Marie Richardson,  plus...
	",, 4.1 | 25 avis ,
"POCAHONTAS, UNE LÉGENDE INDIENNE",https://www.cine974.com/film/pocahontas-une-legende-indienne/1614/, 643,https://www.cine974.com/images/affiches/moyen/pocahontas--une-l--gende-indienne-bXVWiGCk.jpg,"
								1995								",643,4.1,1h22,8190, (25),1h22,Animation,Américain,,Mike Gabriel,"
	
			avec Mathilda May, Michel Papineschi, Annie Cordy, Bruno Choel, Raymond Gérome,  plus...
	","conseillé en Famille, pour Marmailles", 4.1 | 25 avis ,"En l'an 1607, La belle Pocahontas aura-t-elle le pouvoir d'éviter la guerre entre les colons anglais et son peuple, les Powhatan, et de sauvegarder ainsi ses amours avec le fringant aventurier John Smith, qui accompagne les colons ?"
L'INSPECTEUR HARRY,https://www.cine974.com/film/l-inspecteur-harry/2384/, 644,https://www.cine974.com/images/affiches/moyen/l-inspecteur-harry-flZ1Qd88.jpg,"
								1971								",644,4.1,1h42,9411, (25),1h42,Policier,Américain,1971,Don Siegel,"
	
			avec Clint Eastwood, Andrew Robinson, Harry Guardino, Reni Santoni, John Vernon,  plus...
	",, 4.1 | 25 avis ,
